PDV	Sex	Condition
N	F	109.1836735
N	F	110.3092784
N	F	101.1320755
N	M	88.84297521
N	M	91.52542373
P	M	96.42857143
N	M	99.08256881
N	M	100
N	F	103.8461538
N	F	105.3658537
N	M	106.9306931
N	F	100.462963
N	F	104.8309179
N	M	88.97959184
N	F	91.28978224
N	F	102.6365348
N	M	111.2244898
N	F	100.4587156
N	F	106.3106796
N	M	89.43089431
N	F	94.82758621
N	M	95.23809524
N	F	97.34513274
N	M	103.271028
N	M	98.2300885
N	M	98.2300885
N	M	100.9090909
N	F	95.72649573
N	F	101.8018018
N	F	104.6296296
N	M	94.21487603
N	M	104.587156
N	F	112.8712871
N	M	109.5238095
N	M	98.30508475
N	M	101.754386
N	F	92.12598425
N	M	100
P	F	96.8
N	M	97.18875502
N	M	110
N	F	96.22641509
P	F	92.30769231
P	F	90.56603774
